Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
expensive_lessons.txt,25,47,48.6,98.95,1,20.23,47,27.66,87.23,65.96,51.06,19.15,10.64,0,0,0,10.64,0,8.51,23.4,8.51,0,8.51,8.51,2.13,4.26,0,12.77,10.64,0,4.26,4.26,0,0,4.26,0,4.26,2.13,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15,2.13,0,0,0,0,2.13,17.02,4.26,0,12.77,2.13,0,0,0,0,10.64,0,0,10.64,2.13,0,6.38,4.26,2.13,0,0,0,0,0,2.13,0,0,0,0,2.13,0,0,0,0,0,2.13,0,0,0,0,0,2.13,2.13,17.02,0,0,0,0,0,0,0,17.02,2.13,10.64,0,0,0,4.26
expensive_lessons.txt,26,21,94.68,40.06,99,88.66,21,33.33,95.24,61.9,38.1,0,0,0,0,0,0,0,0,4.76,4.76,0,23.81,4.76,0,19.05,0,14.29,14.29,0,4.76,4.76,0,0,9.52,0,9.52,4.76,0,0,0,0,4.76,0,4.76,4.76,0,4.76,4.76,0,0,0,0,0,4.76,0,0,0,0,0,0,4.76,4.76,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,9.52,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0,4.76,9.52,0,0,9.52,0,0,0,23.81,9.52,0,0,0,0,0,0,0,14.29,4.76,9.52,0,0,0,0
expensive_lessons.txt,27,13,99,99,30.98,1,13,23.08,92.31,69.23,53.85,15.38,15.38,0,0,0,15.38,0,0,23.08,15.38,0,23.08,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,23.08,0,0,0,0,0,0,23.08,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,0,15.38,15.38,0,0,0,0,7.69,0,0,0,0,0,0,0,15.38,7.69,0,0,0,7.69,0
expensive_lessons.txt,28,23,82.28,5.93,44.75,20.23,23,26.09,82.61,60.87,47.83,8.7,4.35,0,0,0,4.35,0,4.35,13.04,8.7,0,13.04,4.35,4.35,4.35,4.35,8.7,8.7,4.35,4.35,0,4.35,0,17.39,0,17.39,0,0,4.35,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,4.35,0,0,0,4.35,0,0,0,0,8.7,4.35,0,4.35,0,0,4.35,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04,21.74,0,0,13.04,4.35,0,4.35,4.35,0,0,0,0,0,0,0,0,17.39,4.35,13.04,0,0,0,0
expensive_lessons.txt,29,13,74.95,98.04,1,99,13,15.38,100,76.92,46.15,15.38,7.69,0,0,0,7.69,0,7.69,15.38,7.69,0,15.38,7.69,7.69,0,0,30.77,7.69,0,23.08,0,15.38,7.69,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,7.69,7.69,0,0,0,0,0,15.38,0,0,0,0,0,0,15.38,0,0,15.38,0,0,0,0,0,15.38,0,0,15.38,0,0,7.69,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,0,0,7.69,15.38,0,0,7.69,7.69,0,0,0,0,7.69,0,0,0,0,0,0,30.77,0,7.69,0,0,7.69,15.38
expensive_lessons.txt,30,2,1,99,1,20.23,2,50,100,100,50,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0
expensive_lessons.txt,31,35,12.97,24.76,1,1,17.5,20,91.43,77.14,65.71,17.14,2.86,0,0,0,2.86,0,14.29,17.14,5.71,0,11.43,14.29,8.57,5.71,2.86,20,14.29,0,5.71,0,0,5.71,17.14,0,17.14,2.86,0,5.71,2.86,0,5.71,0,11.43,2.86,8.57,5.71,0,5.71,0,0,2.86,0,5.71,0,0,0,0,0,0,5.71,0,0,5.71,0,0,0,0,0,2.86,0,0,0,2.86,0,2.86,0,0,0,0,0,0,0,0,5.71,0,0,2.86,0,0,0,0,0,2.86,0,0,0,0,0,0,0,0,0,5.71,5.71,0,0,0,0,0,28.57,2.86,11.43,0,2.86,5.71,5.71
expensive_lessons.txt,32,35,18.12,72.87,24.32,99,35,37.14,88.57,60,45.71,14.29,5.71,0,0,0,5.71,0,8.57,14.29,0,0,14.29,2.86,8.57,14.29,2.86,11.43,5.71,8.57,0,0,0,0,17.14,5.71,11.43,5.71,0,0,2.86,0,2.86,0,8.57,8.57,0,0,0,0,0,0,0,0,14.29,5.71,0,2.86,0,2.86,0,11.43,0,0,8.57,2.86,2.86,0,2.86,0,2.86,0,0,2.86,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,2.86,5.71,0,0,8.57,5.71,0,0,0,0,0,0,0,8.57,2.86,2.86,0,0,0,2.86
expensive_lessons.txt,33,13,99,40.06,99,20.23,13,23.08,84.62,69.23,53.85,0,0,0,0,0,0,0,0,30.77,15.38,15.38,15.38,0,7.69,7.69,0,0,7.69,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46,0,0,0,0,0,0,0,0,15.38,7.69,7.69,0,0,0,0
expensive_lessons.txt,34,6,99,40.06,1,20.23,6,33.33,50,50,33.33,0,0,0,0,0,0,0,0,16.67,16.67,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,33.33,16.67,16.67,0,0,0,0
