"","X","Unnamed..0.1","category","RECORDING_SESSION_LABEL","IA_DWELL_TIME","IA_REGRESSION_PATH_DURATION","IA_AVERAGE_FIX_PUPIL_SIZE","IA_REGRESSION_IN_COUNT","IA_REGRESSION_OUT_FULL_COUNT","word","anger","disgust","fear","joy","neutral","sadness","surprise","negative","neutral.1","positive","word_length","concreteness","Unnamed..0","X0","engagement_score","highlight","story","norm_dt"
"1",0,0,3,"10",2624,2806,273.625,3,3,9,0.0149108562618494,0.018824653699994,0.0442849062383174,0.0047415546141564,0.78363424539566,0.0119144758209586,0.121689319610596,0.103588990867138,0.841585636138916,0.0548252984881401,3.6,2.834,0,"AT half-past eight they drove out of the town.",2.14,1,"SM",291.555555555556
"2",1,1,1,"10",5696,5696,223.568823529412,3,3,24,0.0128250550478696,0.0711901560425758,0.0154244322329759,0.504641771316528,0.237949386239052,0.153029561042786,0.0049396068789064,0.0549687705934047,0.457871675491333,0.487159490585327,4,2.71826086956522,1,"The highroad was dry, a lovely April sun was shining warmly, but the snow was still lying in the ditches and in the woods.",2.14,1,"SM",237.333333333333
"3",2,2,1,"10",4598,4974,229.569166666667,4,4,15,0.693688631057739,0.0312948301434516,0.0757294073700904,0.0031349163036793,0.0433737821877002,0.117172941565514,0.0356054827570915,0.413356214761734,0.494991272687912,0.0916524678468704,4.2,2.49066666666667,2,"Winter, dark, long, and spiteful, was hardly over; spring had come all of a sudden.",2.14,1,"SM",306.533333333333
"4",3,3,1,"10",17615,19170,217.313829787234,9,8,60,0.0018574005225673,0.0041441228240728,0.0037128729745745,0.898136258125305,0.0166659597307443,0.0738170817494392,0.0016663038404658,0.121559232473373,0.499690026044846,0.378750711679459,4.76666666666667,2.59842105263158,3,"But neither the warmth nor the languid transparent woods, warmed by the breath of spring, nor the black flocks of birds flying over the huge puddles that were like lakes, nor the marvelous fathomless sky, into which it seemed one would have gone away so joyfully, presented anything new or interesting to Marya Vassilyevna who was sitting in the cart.",2.14,1,"SM",293.583333333333
"5",4,4,1,"10",16186,21376,217.051346153846,7,7,69,0.0366512238979339,0.0052321059629321,0.0515321008861064,0.0203865338116884,0.776563048362732,0.0576968006789684,0.0519381947815418,0.0659265518188476,0.757962882518768,0.176110550761223,4.02816901408451,2.36183098591549,4,"For thirteen years she had been schoolmistress, and there was no reckoning how many times during all those years she had been to the town for her salary; and whether it were spring as now, or a rainy autumn evening, or winter, it was all the same to her, and she always—invariably—longed for one thing only, to get to the end of her journey as quickly as could be.",2.14,1,"SM",234.579710144928
"6",5,5,0,"10",8838,11376,216.03125,6,6,43,0.0091497143730521,0.0374720282852649,0.0490051433444023,0.0055652991868555,0.856602907180786,0.0097540197893977,0.0324507839977741,0.067658931016922,0.699721336364746,0.232619762420654,3.72093023255814,2.5853488372093,5,"She felt as though she had been living in that part of the country for ages and ages, for a hundred years, and it seemed to her that she knew every stone, every tree on the road from the town to her school.",2.14,0,"SM",205.53488372093
"7",6,6,0,"10",6774,7652,220.76,1,1,34,0.0314948670566082,0.0394016243517398,0.130561947822571,0.0069300830364227,0.630888402462006,0.0747555345296859,0.0859675258398056,0.0696423128247261,0.658560693264008,0.271797031164169,3.97058823529412,2.475,6,"Her past was here, her present was here, and she could imagine no other future than the school, the road to the town and back again, and again the school and again the road....",2.14,0,"SM",199.235294117647
"8",7,7,0,"10",5732,5732,209.791666666667,2,2,22,0.0135574731975793,0.0819977670907974,0.0058030593208968,0.0019347330089658,0.843723595142365,0.0134911928325891,0.039492193609476,0.258046001195908,0.668111085891724,0.0738429278135299,4.27272727272727,2.23772727272727,7,"She had got out of the habit of thinking of her past before she became a schoolmistress, and had almost forgotten it.",2.14,0,"SM",260.545454545455
"9",8,8,0,"10",8636,8978,202.461666666667,3,2,40,0.0104809338226914,0.0314356088638305,0.824194014072418,0.0021685634274035,0.0757648348808288,0.0204902291297912,0.0354657210409641,0.221477746963501,0.68589836359024,0.0926239416003227,3.7,2.53513513513513,8,"She had once had a father and mother; they had lived in Moscow in a big flat near the Red Gate, but of all that life there was left in her memory only something vague and fluid like a dream.",2.14,0,"SM",215.9
"10",9,9,4,"10",2450,3132,199.4,0,1,17,0.0016088896663859,0.0028324206359684,0.0041822637431323,0.0013374107657,0.0158357471227645,0.961514055728912,0.0126893278211355,0.730538845062256,0.260908991098404,0.0085522131994366,3.82352941176471,2.77764705882353,9,"Her father had died when she was ten years old, and her mother had died soon after....",2.14,1,"SM",144.117647058824
"11",10,10,4,"10",6076,6620,200.714285714286,1,1,33,0.122455179691315,0.504974901676178,0.0094163082540035,0.0031376108527183,0.307504951953888,0.0355757847428321,0.0169352199882268,0.357986927032471,0.60962325334549,0.0323897860944271,3.84848484848485,2.72575757575758,10,"She had a brother, an officer; at first they used to write to each other, then her brother had given up answering her letters, he had got out of the way of writing.",2.14,1,"SM",184.121212121212
"12",11,11,4,"10",6672,7030,204.95652173913,2,2,37,0.0138370413333177,0.562692821025848,0.0179553646594285,0.0075841667130589,0.245933264493942,0.121005900204182,0.0309914257377386,0.549360871315002,0.420970052480698,0.0296690165996551,3.97297297297297,2.47297297297297,11,"Of her old belongings, all that was left was a photograph of her mother, but it had grown dim from the dampness of the school, and now nothing could be seen but the hair and the eyebrows.",2.14,1,"SM",180.324324324324
"13",12,12,3,"10",6339,8402,240.285714285714,6,7,26,0.106622196733951,0.161292940378189,0.332233905792236,0.0047453711740672,0.0985823050141334,0.0230541490018367,0.273469120264053,0.102379582822323,0.849818289279938,0.0478021427989006,4.23076923076923,2.7912,12,"When they had driven a couple of miles, old Semyon, who was driving, turned round and said: ""They have caught a government clerk in the town.",2.14,1,"SM",243.807692307692
