,sentence,word,word_length,word_freq
475,18,of,2,7.063009914
476,18,her,3,6.452086523
477,18,school,6,5.522027521
478,18,of,2,7.063009914
479,18,the,3,7.468477762
480,18,examination,11,3.74208325
481,18,that,4,7.148972369
482,18,was,3,6.751817351
483,18,coming,6,5.721247249
484,18,soon,4,5.410462557
485,18,and,3,7.126115569
486,18,of,2,7.063009914
487,18,the,3,7.468477762
488,18,girl,4,5.745366518
489,18,and,3,7.126115569
490,18,four,4,5.407311516
491,18,boys,4,5.349994346
492,18,she,3,6.571450902
493,18,was,3,6.751817351
494,18,sending,7,4.544929728
495,18,up,2,6.564072703
496,18,for,3,6.837945999
497,18,it,2,7.27578186
498,19,and,3,7.126115569
499,19,just,4,6.676020833
500,19,as,2,6.345177693
501,19,she,3,6.571450902
502,19,was,3,6.751817351
503,19,thinking,8,5.448807084
504,19,about,5,6.559491539
505,19,the,3,7.468477762
506,19,examination,11,3.74208325
507,19,she,3,6.571450902
508,19,was,3,6.751817351
509,19,overtaken,9,2.689774151
510,19,by,2,6.12666796
511,19,a,1,7.309359959
512,19,neighboring,11,2.882898749
513,19,landowner,9,2.592864138
514,19,called,6,5.530933324
515,19,hanov,5,1.5
516,19,in,2,6.989451386
517,19,a,1,7.309359959
518,19,carriage,8,3.873897505
519,19,with,4,6.702554028
520,19,four,4,5.407311516
521,19,horses,6,4.611564636
522,19,the,3,7.468477762
523,19,very,4,6.093272155
524,19,man,3,6.265580656
525,19,who,3,6.34633612
526,19,had,3,6.22366309
527,19,been,4,6.2391404
528,19,examiner,8,3.409105438
529,19,in,2,6.989451386
530,19,her,3,6.452086523
531,19,school,6,5.522027521
532,19,the,3,7.468477762
533,19,year,4,5.44335721
534,19,before,6,5.899310611
535,20,when,4,6.307780386
536,20,he,2,6.882339374
537,20,came,4,5.66568365
538,20,up,2,6.564072703
539,20,to,2,7.355006441
540,20,her,3,6.452086523
541,20,he,2,6.882339374
542,20,recognized,10,3.953646828
543,20,her,3,6.452086523
544,20,and,3,7.126115569
545,20,bowed,5,2.915083433
546,21,good-morning,12,1.5
547,21,he,2,6.882339374
548,21,said,4,6.044128492
549,21,to,2,7.355006441
550,21,her,3,6.452086523
551,22,you,3,7.62117384
552,22,are,3,6.716181562
553,22,driving,7,4.86944082
554,22,home,4,5.88834327
555,22,i,1,1.5
556,22,suppose,7,5.099166181
557,23,this,4,6.901338909
558,23,hanov,5,1.5
559,23,a,1,7.309359959
560,23,man,3,6.265580656
561,23,of,2,7.063009914
562,23,forty,5,4.024227902
563,23,with,4,6.702554028
564,23,a,1,7.309359959
565,23,listless,8,2.291834142
566,23,expression,10,4.106081738
567,23,and,3,7.126115569
568,23,a,1,7.309359959
569,23,face,4,5.460567271
570,23,that,4,7.148972369
571,23,showed,6,4.676724939
572,23,signs,5,4.342600453
573,23,of,2,7.063009914
574,23,wear,4,5.038234787
575,23,was,3,6.751817351
576,23,beginning,9,4.799690014
577,23,to,2,7.355006441
578,23,look,4,6.28883587
579,23,old,3,5.783993644
580,23,but,3,6.644579913
581,23,was,3,6.751817351
582,23,still,5,5.896340991
583,23,handsome,8,4.518434047
584,23,and,3,7.126115569
585,23,admired,7,3.565991991
586,23,by,2,6.12666796
587,23,women,5,5.290921165
588,24,he,2,6.882339374
589,24,lived,5,4.819335153
590,24,in,2,6.989451386
591,24,his,3,6.326723177
592,24,big,3,5.833725267
593,24,homestead,9,3.069985393
594,24,alone,5,5.488728489
595,24,and,3,7.126115569
596,24,was,3,6.751817351
597,24,not,3,6.733802491
598,24,in,2,6.989451386
599,24,the,3,7.468477762
600,24,service,7,4.902174854
601,24,and,3,7.126115569
602,24,people,6,6.041979831
603,24,used,4,5.536160752
604,24,to,2,7.355006441
605,24,say,3,6.214196239
606,24,of,2,7.063009914
607,24,him,3,6.541548453
608,24,that,4,7.148972369
609,24,he,2,6.882339374
610,24,did,3,6.368878477
611,24,nothing,7,5.930672691
612,24,at,2,6.506871261
613,24,home,4,5.88834327
614,24,but,3,6.644579913
615,24,walk,4,5.333621461
616,24,up,2,6.564072703
617,24,and,3,7.126115569
618,24,down,4,6.172676305
619,24,the,3,7.468477762
620,24,room,4,5.64239226
621,24,whistling,9,3.710135433
622,24,or,2,6.231208606
623,24,play,4,5.549080607
624,24,chess,5,3.872759118
625,24,with,4,6.702554028
626,24,his,3,6.326723177
627,24,old,3,5.783993644
628,24,footman,7,1.990804146
629,25,people,6,6.041979831
630,25,said,4,6.044128492
631,25,too,3,6.13662807
632,25,that,4,7.148972369
633,25,he,2,6.882339374
634,25,drank,5,4.109399512
635,25,heavily,7,3.78737848
636,26,and,3,7.126115569
637,26,indeed,6,4.606964459
638,26,at,2,6.506871261
639,26,the,3,7.468477762
640,26,examination,11,3.74208325
641,26,the,3,7.468477762
642,26,year,4,5.44335721
643,26,before,6,5.899310611
644,26,the,3,7.468477762
645,26,very,4,6.093272155
646,26,papers,6,4.713273532
647,26,he,2,6.882339374
648,26,brought,7,5.235674769
649,26,with,4,6.702554028
650,26,him,3,6.541548453
651,26,smelt,5,3.016110012
652,26,of,2,7.063009914
653,26,wine,4,4.780243831
654,26,and,3,7.126115569
655,26,scent,5,3.776133981
656,27,he,2,6.882339374
657,27,had,3,6.22366309
658,27,been,4,6.2391404
659,27,dressed,7,4.67113966
660,27,all,3,6.71221242
661,27,in,2,6.989451386
662,27,new,3,5.85902525
663,27,clothes,7,5.00439967
664,27,on,2,6.841747977
665,27,that,4,7.148972369
666,27,occasion,8,4.218690851
667,27,and,3,7.126115569
668,27,marya,5,1.5
669,27,vassilyevna,11,1.5
670,27,thought,7,5.907079076
671,27,him,3,6.541548453
672,27,very,4,6.093272155
673,27,attractive,10,4.39116942
674,27,and,3,7.126115569
675,27,all,3,6.71221242
676,27,the,3,7.468477762
677,27,while,5,5.542790581
678,27,she,3,6.571450902
679,27,sat,3,4.456186998
680,27,beside,6,4.181135845
681,27,him,3,6.541548453
682,27,she,3,6.571450902
683,27,had,3,6.22366309
684,27,felt,4,5.078017488
685,27,embarrassed,11,4.330851464
686,28,she,3,6.571450902
687,28,was,3,6.751817351
688,28,accustomed,10,3.467925401
689,28,to,2,7.355006441
690,28,see,3,6.40709175
691,28,frigid,6,3.149166639
692,28,and,3,7.126115569
693,28,sensible,8,3.833413386
694,28,examiners,9,2.371015388
695,28,at,2,6.506871261
696,28,the,3,7.468477762
697,28,school,6,5.522027521
698,28,while,5,5.542790581
699,28,this,4,6.901338909
700,28,one,3,6.486861564
701,28,did,3,6.368878477
702,28,not,3,6.733802491
703,28,remember,8,5.733796212
704,28,a,1,7.309359959
705,28,single,6,4.857327772
706,28,prayer,6,4.198169184
707,28,or,2,6.231208606
708,28,know,4,6.756891151
709,28,what,4,6.992508444
710,28,to,2,7.355006441
711,28,ask,3,5.683492471
712,28,questions,9,5.071214154
713,28,about,5,6.559491539
714,28,and,3,7.126115569
715,28,was,3,6.751817351
716,28,exceedingly,11,2.990804146
717,28,courteous,9,3.091174692
718,28,and,3,7.126115569
719,28,delicate,8,3.978470411
720,28,giving,6,5.04110655
721,28,nothing,7,5.930672691
722,28,but,3,6.644579913
723,28,the,3,7.468477762
724,28,highest,7,4.102738423
725,28,marks,5,4.340275946
726,29,i,1,1.5
727,29,am,2,6.043413452
728,29,going,5,6.326418485
729,29,to,2,7.355006441
730,29,visit,5,4.768085938
731,29,bakvist,7,1.5
732,29,he,2,6.882339374
733,29,went,4,5.613805198
734,29,on,2,6.841747977
735,29,addressing,10,3.325257898
736,29,marya,5,1.5
737,29,vassilyevna,11,1.5
738,29,but,3,6.644579913
739,29,i,1,1.5
740,29,am,2,6.043413452
741,29,told,4,5.844258988
742,29,he,2,6.882339374
743,29,is,2,6.954274634
744,29,not,3,6.733802491
745,29,at,2,6.506871261
746,29,home,4,5.88834327
747,30,they,4,6.612501684
748,30,turned,6,5.023342326
749,30,off,3,6.071113093
750,30,the,3,7.468477762
751,30,highroad,8,1.592864138
752,30,into,4,5.926059428
753,30,a,1,7.309359959
754,30,by-road,7,1.5
755,30,to,2,7.355006441
756,30,the,3,7.468477762
757,30,village,7,4.525591505
758,30,hanov,5,1.5
759,30,leading,7,4.31918375
760,30,the,3,7.468477762
761,30,way,3,6.15314149
762,30,and,3,7.126115569
763,30,semyon,6,1.5
764,30,following,9,4.655634088
765,31,the,3,7.468477762
766,31,four,4,5.407311516
767,31,horses,6,4.611564636
768,31,moved,5,4.840469202
769,31,at,2,6.506871261
770,31,a,1,7.309359959
771,31,walking,7,4.874692604
772,31,pace,4,3.981143001
773,31,with,4,6.702554028
774,31,effort,6,4.286591087
775,31,dragging,8,3.81817342
