RECORDING_SESSION_LABEL,story,sentence,norm_dt_smooth
id2,SM,0,0.34913148144387024
id2,SM,1,0.3047691432491296
id2,SM,2,0.2768853433031474
id2,SM,3,0.24836172049058475
id2,SM,4,0.23639212663615122
id2,SM,5,0.2157341708493362
id2,SM,6,0.2233852408747802
id2,SM,7,0.24081362299306558
id2,SM,8,0.2529000963791934
id2,SM,9,0.35147751770126073
id2,SM,10,0.38495238582317215
id2,SM,11,0.4166168555863782
id2,SM,12,0.4430506189668094
id2,SM,13,0.45024559916613754
id2,SM,14,0.3678142862765206
id2,SM,15,0.3508539280496944
id2,SM,16,0.35265271507391
id2,SM,17,0.338489897270711
id2,SM,18,0.34615361685917306
id2,SM,19,0.34344785097504305
id2,SM,20,0.3395506393107466
id2,SM,21,0.2766833551776754
id2,SM,22,0.2223539387004118
id2,SM,23,0.1964634602361306
id2,SM,24,0.20444765848454619
id2,SM,25,0.15645289874915277
id2,SM,26,0.2095361846988252
id2,SM,27,0.23504174763834257
id2,SM,28,0.22750549434231204
id2,SM,29,0.20392773659365
id2,SM,30,0.21312085856126864
id2,SM,31,0.15507716044983605
id2,SM,32,0.15252198718511906
id2,SM,33,0.15635387368963266
id2,SM,34,0.16528647606424465
id2,SM,35,0.20890322913891488
id2,SM,36,0.2430357761109952
id2,SM,37,0.2426579916727694
id2,SM,38,0.21764901275584475
id2,SM,39,0.27142336120569377
id2,SM,40,0.2579468822137982
id2,SM,41,0.2781637812945812
id2,SM,42,0.2793825774205766
id2,SM,43,0.2878392742363514
id2,SM,44,0.21358697918394354
id2,SM,45,0.20339299307801212
id2,SM,46,0.15405782504877413
id2,SM,47,0.12492304601115431
id2,SM,48,0.18660159889123754
id2,SM,49,0.19568095395695442
id2,SM,50,0.1966579766485126
id2,SM,51,0.21997090903535596
id2,SM,52,0.2330169514497908
id2,SM,53,0.18804974137700578
id2,SM,54,0.22690070270647741
id2,SM,55,0.24125369443475222
id2,SM,56,0.2646424642850112
id2,SM,57,0.277633832849653
id2,SM,58,0.2634260270471822
id2,SM,59,0.240406876235906
id2,SM,60,0.23258220396563298
id2,SM,61,0.230604759826109
id2,SM,62,0.19355514671197174
id2,SM,63,0.24832595505647653
id2,SM,64,0.2572318503924399
id2,SM,65,0.2722405467847531
id2,SM,66,0.26259444053197173
id2,SM,67,0.296065821393637
id2,SM,68,0.24776178167837098
id2,SM,69,0.2360022636099774
id2,SM,70,0.2282134194443252
id2,SM,71,0.204061398693519
id2,SM,72,0.2777729830944422
