,Unnamed: 0.1,category,proportion_x,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral.1,positive,word_length,concreteness,valence_avg_x,valence_max_x,valence_min_x,arousal_avg_x,arousal_max_x,arousal_min_x,word_freq,word_count,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score,proportion_y,valence_avg_y,valence_max_y,valence_min_y,arousal_avg_y,arousal_max_y,arousal_min_y
10,10.0,4,1.0,id10,6076.0,6620.0,200.7142857142857,1.0,1.0,SM,0.1224551796913147,0.504974901676178,0.0094163082540035,0.0031376108527183,0.3075049519538879,0.0355757847428321,0.0169352199882268,0.3579869270324707,0.6096232533454895,0.0323897860944271,3.757575757575758,2.725757575757576,0.652625,0.823,0.438,0.3835,0.594,0.23,206.59109893,33,10,"She had a brother, an officer; at first they used to write to each other, then her brother had given up answering her letters, he had got out of the way of writing.",6076.0,6620.0,200.7142857142857,1.0,1.0,2.14,1.0,0.652625,0.823,0.438,0.3835,0.594,0.23
11,11.0,4,0.9946808510638298,id10,6672.0,7030.0,204.95652173913044,2.0,2.0,SM,0.0138370413333177,0.5626928210258484,0.0179553646594285,0.0075841667130589,0.2459332644939422,0.1210059002041816,0.0309914257377386,0.5493608713150024,0.4209700524806976,0.0296690165996551,3.864864864864865,2.472972972972973,0.658,0.931,0.375,0.3228461538461538,0.615,0.186,227.473590495,37,11,"Of her old belongings, all that was left was a photograph of her mother, but it had grown dim from the dampness of the school, and now nothing could be seen but the hair and the eyebrows.",6672.0,7030.0,204.95652173913044,2.0,2.0,2.14,0.9946808510638298,0.658,0.931,0.375,0.3228461538461538,0.615,0.186
12,12.0,3,0.352112676056338,id10,6339.0,8402.0,240.28571428571428,6.0,7.0,SM,0.1066221967339515,0.1612929403781891,0.3322339057922363,0.0047453711740672,0.0985823050141334,0.0230541490018367,0.2734691202640533,0.1023795828223228,0.8498182892799377,0.0478021427989006,3.923076923076923,2.7912,0.6017142857142856,0.806,0.427,0.4575,0.689,0.24,152.7780391,26,12,"When they had driven a couple of miles, old Semyon, who was driving, turned round and said: ""They have caught a government clerk in the town.",6339.0,8402.0,240.28571428571428,6.0,7.0,2.14,0.352112676056338,0.6017142857142856,0.806,0.427,0.4575,0.689,0.24
13,13.0,3,1.0,id10,918.0,918.0,229.83333333333331,0.0,0.0,SM,0.1896087676286697,0.1601536720991134,0.0191712770611047,0.0022644738201051,0.1122931316494941,0.5099966526031494,0.006512017454952,0.8254726529121399,0.1683708727359771,0.0061566270887851,3.6,2.866,0.7925,0.828,0.757,0.463,0.537,0.389,32.423311445,5,13,They have taken him away.,918.0,918.0,229.83333333333331,0.4060913705583756,0.4314720812182741,2.14,1.0,0.7925,0.828,0.757,0.463,0.537,0.389
14,14.0,3,0.9873417721518988,id10,2222.0,2222.0,207.9633333333333,1.0,1.0,SM,0.1924743056297302,0.6964651346206665,0.0220054239034652,0.0013568300055339,0.0638119280338287,0.0183869861066341,0.0054994132369756,0.5318121314048767,0.4544428586959839,0.0137450043112039,4.214285714285714,2.486,0.461,0.67,0.052,0.517,0.941,0.24,80.720103112,14,14,"The story is that with some Germans he killed Alexeyev, the Mayor, in Moscow.""",2222.0,2222.0,207.9633333333333,1.0,1.0,2.14,0.9873417721518988,0.461,0.67,0.052,0.517,0.941,0.24
15,15.0,0,0.0,id10,1044.0,1044.0,214.75,0.0,0.0,SM,0.0764139294624328,0.0439781285822391,0.0121843945235013,0.0063212225213646,0.0475827977061271,0.0074733197689056,0.8060462474822998,0.3387139141559601,0.6330022811889648,0.0282837282866239,3.5,2.5725,0.551,0.551,0.551,0.35,0.35,0.35,27.352552315,4,15,"""Who told you that?""",1044.0,1044.0,214.75,0.3940886699507389,0.4137931034482758,2.14,0.0,0.551,0.551,0.551,0.35,0.35,0.35
16,16.0,0,0.0,id10,1046.0,1216.0,215.2,1.0,1.0,SM,0.0312337819486856,0.8856038451194763,0.0073111490346491,0.0010811656247824,0.0653112605214119,0.0023950177710503,0.0070636961609125,0.089250162243843,0.8484391570091248,0.0623106211423873,3.4166666666666665,3.143333333333333,0.6115,0.74,0.516,0.3057499999999999,0.577,0.123,60.48337927,12,16,"""They were reading it in the paper, in Ivan Ionov’s tavern.""",1046.0,1216.0,215.2,1.0,1.0,2.14,0.0,0.6115,0.74,0.516,0.3057499999999999,0.577,0.123
17,17.0,0,0.0,id10,2402.0,2402.0,229.375,2.0,2.0,SM,0.0454299189150333,0.123738519847393,0.1095803901553154,0.0059524113312363,0.562046229839325,0.083871029317379,0.0693815425038337,0.7236930727958679,0.2656152844429016,0.010691693983972,3.555555555555556,2.367777777777777,0.571,0.67,0.469,0.2515,0.353,0.125,57.024963927,9,17,And again they were silent for a long time.,2402.0,2402.0,229.375,2.0,2.0,2.14,0.0,0.571,0.67,0.469,0.2515,0.353,0.125
18,18.0,0,0.0,id10,3996.0,4518.0,209.7941176470588,2.0,2.0,SM,0.0348714366555213,0.23000368475914,0.01933104544878,0.1563148200511932,0.4718996584415436,0.0593899860978126,0.0281893536448478,0.0846023261547088,0.8729492425918579,0.0424485132098197,3.8461538461538463,2.5875,0.626625,0.786,0.378,0.374625,0.657,0.24,157.477048384,26,18,"Marya Vassilyevna thought of her school, of the examination that was coming soon, and of the girl and four boys she was sending up for it.",3996.0,4518.0,209.7941176470588,2.0,2.0,2.14,0.0,0.626625,0.786,0.378,0.374625,0.657,0.24
19,19.0,3,0.9951923076923076,id10,7618.0,9438.0,211.97916666666663,5.0,5.0,SM,0.0590310841798782,0.1209493279457092,0.4396648705005646,0.0026802467182278,0.0200341064482927,0.0084340255707502,0.3492063879966736,0.1929325461387634,0.7661206722259521,0.0409468337893486,4.27027027027027,2.6502777777777777,0.6202666666666666,0.786,0.378,0.4224666666666666,0.657,0.24,216.380736896,37,19,"And just as she was thinking about the examination, she was overtaken by a neighboring landowner called Hanov in a carriage with four horses, the very man who had been examiner in her school the year before.",7618.0,9438.0,211.97916666666663,5.0,5.0,2.14,0.9951923076923076,0.6202666666666666,0.786,0.378,0.4224666666666666,0.657,0.24
