Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
schoolmistress.txt,195,24,82.63,99,1,99,24,29.17,91.67,66.67,54.17,16.67,16.67,0,0,0,16.67,0,0,20.83,8.33,0,16.67,0,4.17,8.33,0,12.5,0,0,0,0,0,0,4.17,0,4.17,4.17,0,0,0,0,0,0,8.33,8.33,0,8.33,8.33,0,0,0,0,0,29.17,8.33,0,0,0,0,8.33,20.83,0,0,16.67,0,0,0,0,0,4.17,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,4.17,8.33,0,0,4.17,4.17,12.5,0,0,0,0,0,0,0,16.67,0,12.5,0,0,0,4.17
schoolmistress.txt,196,1,89.52,99,1,20.23,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,100,0,200
schoolmistress.txt,197,9,1,40.06,10.18,1,9,0,100,100,66.67,22.22,22.22,0,0,0,22.22,0,0,0,0,0,0,11.11,11.11,11.11,11.11,44.44,0,0,0,0,0,0,33.33,0,33.33,11.11,11.11,0,0,0,11.11,0,11.11,0,11.11,11.11,0,11.11,0,0,11.11,0,33.33,11.11,0,0,0,0,11.11,22.22,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,11.11,22.22,0,0,0,0,0,0,0,22.22,11.11,11.11,0,0,0,0
schoolmistress.txt,198,63,56.86,92.24,1,97.05,63,11.11,90.48,77.78,68.25,17.46,12.7,0,0,0,12.7,0,4.76,22.22,7.94,1.59,19.05,4.76,3.17,14.29,1.59,12.7,0,4.76,3.17,1.59,1.59,1.59,7.94,3.17,4.76,3.17,0,0,1.59,0,1.59,0,6.35,6.35,0,4.76,4.76,0,0,0,0,0,15.87,3.17,1.59,0,0,0,0,14.29,0,0,7.94,4.76,0,0,0,0,1.59,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,9.52,0,1.59,4.76,3.17,0,0,3.17,11.11,0,0,0,0,0,0,0,11.11,1.59,9.52,0,0,0,0
schoolmistress.txt,199,25,1,94.01,1,20.23,25,16,96,80,64,16,12,0,0,0,12,0,4,12,8,0,0,20,12,8,8,24,12,4,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,8,0,16,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,12,4,0,0,4,0,0,0,12,28,4,0,0,0,0,0,0,36,16,20,0,0,0,0
schoolmistress.txt,200,3,99,40.06,99,20.23,3,33.33,66.67,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,133.33,0,33.33,0,33.33,0,66.67
schoolmistress.txt,201,6,10.19,40.06,39.59,20.23,6,16.67,83.33,83.33,83.33,16.67,0,0,0,0,0,0,16.67,33.33,0,16.67,16.67,0,16.67,16.67,0,0,0,33.33,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0
schoolmistress.txt,202,5,39.7,40.06,99,20.23,5,20,80,60,60,0,0,0,0,0,0,0,0,20,20,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,20,20,0,0,0,0,0,0,0,20,20,0,0,0,0,0
schoolmistress.txt,203,11,99,40.06,5.07,1,11,18.18,72.73,63.64,36.36,0,0,0,0,0,0,0,0,9.09,9.09,0,18.18,0,0,9.09,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,36.36,0,0,9.09,0,0,27.27,0,0,0,0,0,0,0,0,0,27.27,9.09,18.18,0,0,0,0
schoolmistress.txt,204,13,99,40.06,30.98,20.23,13,30.77,69.23,61.54,46.15,7.69,0,0,0,0,0,0,7.69,30.77,23.08,7.69,7.69,0,0,0,0,15.38,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,7.69,7.69,0,0,0,0,15.38,0,0,0,0,0,0,0,15.38,7.69,0,0,0,0,7.69
schoolmistress.txt,205,6,99,98.75,1,20.23,6,16.67,66.67,66.67,50,16.67,16.67,0,0,0,16.67,0,0,33.33,16.67,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0
schoolmistress.txt,206,7,1,99,97.09,20.23,3.5,14.29,85.71,85.71,85.71,14.29,14.29,0,14.29,0,0,0,0,0,0,0,0,28.57,28.57,14.29,0,28.57,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,28.57,0,0,0,0,0,28.57,0,0,0,0,0,0,57.14,28.57,0,0,0,0,28.57
