,story,sentence,RECORDING_SESSION_LABEL,category,proportion_highlighted,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral_sentiment,positive,word_length_mean,concreteness,valence_mean,valence_max,valence_min,arousal_mean,arousal_max,arousal_min,word_freq_mean,word_count,text,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score,word_count_norm,character_count,character_count_norm,normalized_dt,norm_dt_smooth,norm_reg_path,highlighted,valence_diff,arousal_diff,word_freq_norm,no_highlight,present,confused,curious,connected,other
11,EL,0,id20,0,0,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,1844,4018,255.6675,1,1,1.86,0.144444444,66,0.169270833,0.187077979,0.343234986,287,0,0.895,0.441,0.775370548,1,0,0,0,0,0
12,EL,0,id21,0,0,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,1248,700,151,4,2,1.71,0.144444444,66,0.169270833,0.043609001,0.078324785,50,0,0.895,0.441,0.775370548,1,0,0,0,0,0
13,EL,0,id22,0,0,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,1946,1960,333.8125,4,3,1,0.144444444,66,0.169270833,0.211300023,0.295818355,140,0,0.895,0.441,0.775370548,1,0,0,0,0,0
14,EL,0,id23,3,1,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,3604,2150,154.4722222,10,6,2.86,0.144444444,66,0.169270833,0.206563153,0.321508522,153.5714286,1,0.895,0.441,0.775370548,0,0,0,1,0,0
15,EL,0,id24,4,0.987951807,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,4956,2094,401.75,5,1,3.14,0.144444444,66,0.169270833,0.160326556,0.216125253,149.5714286,1,0.895,0.441,0.775370548,0,0,0,0,1,0
16,EL,0,id25,0,0,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,1440,1794,246.1666667,2,1,1.14,0.144444444,66,0.169270833,0.131544778,0.293888811,128.1428571,0,0.895,0.441,0.775370548,1,0,0,0,0,0
17,EL,0,id27,5,0.987951807,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,1444,8464,102.8333333,2,3,1.29,0.144444444,66,0.169270833,0.141686564,0.363390967,604.5714286,1,0.895,0.441,0.775370548,0,0,0,0,0,1
18,EL,0,id28,0,0,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,6180,4618,208.4642857,11,9,2.29,0.144444444,66,0.169270833,0.621142522,0.427300067,329.8571429,0,0.895,0.441,0.775370548,1,0,0,0,0,0
19,EL,0,id3,4,1,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,6526,4392,302.858,9,4,2.29,0.144444444,66,0.169270833,1,0.597242677,313.7142857,1,0.895,0.441,0.775370548,0,0,0,0,1,0
20,EL,0,id30,3,1,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,4420,4722,181.35,2,2,3.14,0.144444444,66,0.169270833,0.14038401,0.194366143,337.2857143,1,0.895,0.441,0.775370548,0,0,0,1,0,0
