,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score
0.0,0,0.0,22,1294.0,1234.0,359.966,3.0,2.0,9,SM,0.014910856261849403,0.018824653699994087,0.04428490623831749,0.004741554614156485,0.7836342453956604,0.011914475820958614,0.1216893196105957,0.1035889908671379,0.841585636138916,0.0548252984881401,3.6,2.834,0.5412,0.625,0.49,0.3766,0.689,0.199,0,AT half-past eight they drove out of the town.,1294.0,1234.0,359.966,3.0,2.0,2.71
1.0,0,0.0,22,4650.0,6652.0,398.09375,9.0,8.0,23,SM,0.012825055047869682,0.07119015604257584,0.01542443223297596,0.5046417713165283,0.23794938623905182,0.15302956104278564,0.004939606878906488,0.0549687705934047,0.457871675491333,0.4871594905853271,4.0,2.718260869565217,0.6053636363636363,0.917,0.13,0.3561818181818182,0.725,0.169,1,"The highroad was dry, a lovely April sun was shining warmly, but the snow was still lying in the ditches and in the woods.",4650.0,6652.0,398.09375,9.0,8.0,2.71
2.0,2,0.9761904761904762,22,5326.0,8002.0,328.93083333333334,10.0,9.0,14,SM,0.6936886310577393,0.03129483014345169,0.07572940737009048,0.003134916303679347,0.04337378218770027,0.11717294156551361,0.03560548275709152,0.413356214761734,0.494991272687912,0.0916524678468704,4.2,2.490666666666667,0.5241111111111112,0.837,0.073,0.416,0.71,0.24,2,"Winter, dark, long, and spiteful, was hardly over; spring had come all of a sudden.",5326.0,8002.0,328.93083333333334,10.0,9.0,2.71
3.0,5,0.7386363636363636,22,8892.0,13428.0,319.2894736842105,12.0,12.0,59,SM,0.0018574005225673318,0.004144122824072838,0.003712872974574566,0.8981362581253052,0.016665959730744362,0.07381708174943924,0.0016663038404658437,0.1215592324733734,0.4996900260448456,0.3787507116794586,4.766666666666667,2.5984210526315787,0.66125,0.958,0.281,0.37785714285714284,0.775,0.182,3,"But neither the warmth nor the languid transparent woods, warmed by the breath of spring, nor the black flocks of birds flying over the huge puddles that were like lakes, nor the marvelous fathomless sky, into which it seemed one would have gone away so joyfully, presented anything new or interesting to Marya Vassilyevna who was sitting in the cart.",8892.0,13428.0,319.2894736842105,12.0,12.0,2.71
4.0,4,0.2876712328767123,22,9422.0,12738.0,317.62075,12.0,13.0,69,SM,0.03665122389793396,0.00523210596293211,0.05153210088610649,0.020386533811688423,0.7765630483627319,0.05769680067896843,0.051938194781541824,0.0659265518188476,0.7579628825187683,0.1761105507612228,4.028169014084507,2.361830985915493,0.6291428571428571,0.91,0.198,0.3553571428571428,0.85,0.185,4,"For thirteen years she had been schoolmistress, and there was no reckoning how many times during all those years she had been to the town for her salary; and whether it were spring as now, or a rainy autumn evening, or winter, it was all the same to her, and she always—invariably—longed for one thing only, to get to the end of her journey as quickly as could be.",9422.0,12738.0,317.62075,12.0,13.0,2.71
5.0,4,0.463768115942029,22,5326.0,6308.0,297.9,7.0,6.0,43,SM,0.00914971437305212,0.03747202828526497,0.04900514334440231,0.005565299186855555,0.8566029071807861,0.009754019789397717,0.032450783997774124,0.067658931016922,0.6997213363647461,0.2326197624206543,3.7209302325581395,2.5853488372093025,0.6371764705882353,0.88,0.216,0.3395294117647059,0.673,0.118,5,"She felt as though she had been living in that part of the country for ages and ages, for a hundred years, and it seemed to her that she knew every stone, every tree on the road from the town to her school.",5326.0,6308.0,297.9,7.0,6.0,2.71
6.0,4,0.9717514124293786,22,6674.0,12892.0,298.07666666666665,12.0,13.0,33,SM,0.0314948670566082,0.03940162435173988,0.1305619478225708,0.0069300830364227295,0.6308884024620056,0.07475553452968597,0.0859675258398056,0.0696423128247261,0.6585606932640076,0.2717970311641693,3.9705882352941178,2.475,0.6541538461538461,0.888,0.438,0.3729230769230769,0.644,0.23,6,"Her past was here, her present was here, and she could imagine no other future than the school, the road to the town and back again, and again the school and again the road....",6674.0,12892.0,298.07666666666665,12.0,13.0,2.71
7.0,0,0.0,22,2148.0,2818.0,269.3,3.0,3.0,22,SM,0.013557473197579384,0.08199776709079742,0.005803059320896864,0.0019347330089658499,0.8437235951423645,0.01349119283258915,0.03949219360947609,0.2580460011959076,0.6681110858917236,0.0738429278135299,4.2727272727272725,2.237727272727273,0.63025,0.757,0.312,0.411625,0.594,0.226,7,"She had got out of the habit of thinking of her past before she became a schoolmistress, and had almost forgotten it.",2148.0,2818.0,269.3,3.0,3.0,2.71
8.0,0,0.0,22,6204.0,7074.0,285.5157142857143,9.0,8.0,39,SM,0.01048093382269144,0.031435608863830566,0.8241940140724182,0.0021685634274035692,0.07576483488082886,0.02049022912979126,0.03546572104096413,0.2214777469635009,0.6858983635902405,0.0926239416003227,3.7,2.535135135135135,0.6835,0.931,0.271,0.37916666666666665,0.673,0.157,8,"She had once had a father and mother; they had lived in Moscow in a big flat near the Red Gate, but of all that life there was left in her memory only something vague and fluid like a dream.",6204.0,7074.0,285.5157142857143,9.0,8.0,2.71
9.0,0,0.0,22,2100.0,2806.0,307.09090909090907,3.0,4.0,17,SM,0.0016088896663859487,0.0028324206359684467,0.004182263743132353,0.0013374107657000422,0.015835747122764587,0.9615140557289124,0.012689327821135521,0.7305388450622559,0.2609089910984039,0.0085522131994366,3.823529411764706,2.777647058823529,0.5658888888888889,0.931,0.031,0.42588888888888893,0.765,0.24,9,"Her father had died when she was ten years old, and her mother had died soon after....",2100.0,2806.0,307.09090909090907,3.0,4.0,2.71
10.0,0,0.0,22,5358.0,6344.0,277.57894736842104,6.0,6.0,33,SM,0.1224551796913147,0.504974901676178,0.009416308254003525,0.0031376108527183533,0.30750495195388794,0.035575784742832184,0.01693521998822689,0.3579869270324707,0.6096232533454895,0.0323897860944271,3.8484848484848486,2.725757575757576,0.652625,0.823,0.438,0.3835,0.594,0.23,10,"She had a brother, an officer; at first they used to write to each other, then her brother had given up answering her letters, he had got out of the way of writing.",5358.0,6344.0,277.57894736842104,6.0,6.0,2.71
11.0,5,0.6063829787234043,22,4396.0,4534.0,304.45,6.0,5.0,37,SM,0.013837041333317757,0.5626928210258484,0.017955364659428596,0.0075841667130589485,0.24593326449394226,0.12100590020418167,0.03099142573773861,0.5493608713150024,0.4209700524806976,0.0296690165996551,3.972972972972973,2.472972972972973,0.658,0.931,0.375,0.32284615384615384,0.615,0.186,11,"Of her old belongings, all that was left was a photograph of her mother, but it had grown dim from the dampness of the school, and now nothing could be seen but the hair and the eyebrows.",4396.0,4534.0,304.45,6.0,5.0,2.71
12.0,2,0.1901408450704225,22,5916.0,10069.0,357.4325,8.0,12.0,25,SM,0.10662219673395157,0.1612929403781891,0.33223390579223633,0.004745371174067259,0.09858230501413345,0.023054149001836777,0.27346912026405334,0.1023795828223228,0.8498182892799377,0.0478021427989006,4.230769230769231,2.7912,0.6017142857142856,0.806,0.427,0.4575,0.689,0.24,12,"When they had driven a couple of miles, old Semyon, who was driving, turned round and said: ""They have caught a government clerk in the town.",5916.0,10069.0,357.4325,8.0,12.0,2.71
13.0,2,0.0384615384615384,22,1038.0,1018.0,352.625,2.0,1.0,5,SM,0.18960876762866974,0.16015367209911346,0.019171277061104774,0.002264473820105195,0.11229313164949417,0.5099966526031494,0.006512017454952002,0.8254726529121399,0.1683708727359771,0.0061566270887851,4.0,2.866,0.7925,0.828,0.757,0.463,0.537,0.389,13,They have taken him away.,1038.0,1018.0,352.625,2.0,1.0,2.71
14.0,2,0.6835443037974683,22,3086.0,3834.0,326.8481818181818,7.0,8.0,14,SM,0.19247430562973022,0.6964651346206665,0.02200542390346527,0.0013568300055339932,0.06381192803382874,0.01838698610663414,0.00549941323697567,0.5318121314048767,0.4544428586959839,0.0137450043112039,4.357142857142857,2.4859999999999998,0.461,0.67,0.052,0.517,0.941,0.24,14,"The story is that with some Germans he killed Alexeyev, the Mayor, in Moscow.""",3086.0,3834.0,326.8481818181818,7.0,8.0,2.71
15.0,0,0.0,22,518.0,518.0,322.0,0.0,0.0,4,SM,0.07641392946243286,0.04397812858223915,0.012184394523501396,0.006321222521364689,0.04758279770612717,0.00747331976890564,0.8060462474822998,0.3387139141559601,0.6330022811889648,0.0282837282866239,3.5,2.5725000000000002,0.551,0.551,0.551,0.35,0.35,0.35,15,"""Who told you that?""",518.0,518.0,322.0,0.9045226130653267,0.984924623115578,2.71
16.0,0,0.0,22,1818.0,2482.0,352.25,3.0,3.0,11,SM,0.031233781948685646,0.8856038451194763,0.007311149034649134,0.001081165624782443,0.0653112605214119,0.002395017771050334,0.007063696160912514,0.089250162243843,0.8484391570091248,0.0623106211423873,3.8333333333333335,3.143333333333333,0.6115,0.74,0.516,0.30574999999999997,0.577,0.123,16,"""They were reading it in the paper, in Ivan Ionov’s tavern.""",1818.0,2482.0,352.25,3.0,3.0,2.71
17.0,0,0.0,22,696.0,1564.0,433.75,1.0,2.0,8,SM,0.04542991891503334,0.12373851984739304,0.1095803901553154,0.0059524113312363625,0.562046229839325,0.083871029317379,0.06938154250383377,0.7236930727958679,0.2656152844429016,0.010691693983972,3.7777777777777777,2.3677777777777775,0.571,0.67,0.469,0.2515,0.353,0.125,17,And again they were silent for a long time.,696.0,1564.0,433.75,1.0,2.0,2.71
18.0,0,0.0,22,3514.0,3540.0,372.0,4.0,3.0,26,SM,0.03487143665552139,0.23000368475914001,0.01933104544878006,0.15631482005119324,0.4718996584415436,0.05938998609781265,0.02818935364484787,0.0846023261547088,0.8729492425918579,0.0424485132098197,4.230769230769231,2.5875,0.626625,0.786,0.378,0.374625,0.657,0.24,18,"Marya Vassilyevna thought of her school, of the examination that was coming soon, and of the girl and four boys she was sending up for it.",3514.0,3540.0,372.0,4.0,3.0,2.71
