,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score
10.0,4,1.0,23,6138.0,11738.0,118.19047619047619,3.0,5.0,33,SM,0.1224551796913147,0.504974901676178,0.009416308254003525,0.0031376108527183533,0.30750495195388794,0.035575784742832184,0.01693521998822689,0.3579869270324707,0.6096232533454895,0.0323897860944271,3.8484848484848486,2.725757575757576,0.652625,0.823,0.438,0.3835,0.594,0.23,10,"She had a brother, an officer; at first they used to write to each other, then her brother had given up answering her letters, he had got out of the way of writing.",6138.0,11738.0,118.19047619047619,3.0,5.0,3.0
11.0,4,0.9946808510638298,23,6314.0,10988.0,118.94736842105263,6.0,6.0,37,SM,0.013837041333317757,0.5626928210258484,0.017955364659428596,0.0075841667130589485,0.24593326449394226,0.12100590020418167,0.03099142573773861,0.5493608713150024,0.4209700524806976,0.0296690165996551,3.972972972972973,2.472972972972973,0.658,0.931,0.375,0.32284615384615384,0.615,0.186,11,"Of her old belongings, all that was left was a photograph of her mother, but it had grown dim from the dampness of the school, and now nothing could be seen but the hair and the eyebrows.",6314.0,10988.0,118.94736842105263,6.0,6.0,3.0
12.0,0,0.0,23,8060.0,13052.0,149.9495,12.0,8.0,25,SM,0.10662219673395157,0.1612929403781891,0.33223390579223633,0.004745371174067259,0.09858230501413345,0.023054149001836777,0.27346912026405334,0.1023795828223228,0.8498182892799377,0.0478021427989006,4.230769230769231,2.7912,0.6017142857142856,0.806,0.427,0.4575,0.689,0.24,12,"When they had driven a couple of miles, old Semyon, who was driving, turned round and said: ""They have caught a government clerk in the town.",8060.0,13052.0,149.9495,12.0,8.0,3.0
13.0,0,0.0,23,1990.0,3148.0,133.4,2.0,4.0,5,SM,0.18960876762866974,0.16015367209911346,0.019171277061104774,0.002264473820105195,0.11229313164949417,0.5099966526031494,0.006512017454952002,0.8254726529121399,0.1683708727359771,0.0061566270887851,4.0,2.866,0.7925,0.828,0.757,0.463,0.537,0.389,13,They have taken him away.,1990.0,3148.0,133.4,2.0,4.0,3.0
14.0,0,0.0,23,6666.0,8944.0,126.44923076923077,2.0,3.0,14,SM,0.19247430562973022,0.6964651346206665,0.02200542390346527,0.0013568300055339932,0.06381192803382874,0.01838698610663414,0.00549941323697567,0.5318121314048767,0.4544428586959839,0.0137450043112039,4.357142857142857,2.4859999999999998,0.461,0.67,0.052,0.517,0.941,0.24,14,"The story is that with some Germans he killed Alexeyev, the Mayor, in Moscow.""",6666.0,8944.0,126.44923076923077,2.0,3.0,3.0
15.0,0,0.0,23,794.0,7440.0,135.16666666666666,0.0,2.0,4,SM,0.07641392946243286,0.04397812858223915,0.012184394523501396,0.006321222521364689,0.04758279770612717,0.00747331976890564,0.8060462474822998,0.3387139141559601,0.6330022811889648,0.0282837282866239,3.5,2.5725000000000002,0.551,0.551,0.551,0.35,0.35,0.35,15,"""Who told you that?""",794.0,7440.0,135.16666666666666,0.835820895522388,2.0,3.0
16.0,0,0.0,23,2956.0,22194.0,148.04125,3.0,4.0,11,SM,0.031233781948685646,0.8856038451194763,0.007311149034649134,0.001081165624782443,0.0653112605214119,0.002395017771050334,0.007063696160912514,0.089250162243843,0.8484391570091248,0.0623106211423873,3.8333333333333335,3.143333333333333,0.6115,0.74,0.516,0.30574999999999997,0.577,0.123,16,"""They were reading it in the paper, in Ivan Ionov’s tavern.""",2956.0,22194.0,148.04125,3.0,4.0,3.0
17.0,4,1.0,23,1690.0,1690.0,127.41666666666667,0.0,0.0,9,SM,0.04542991891503334,0.12373851984739304,0.1095803901553154,0.0059524113312363625,0.562046229839325,0.083871029317379,0.06938154250383377,0.7236930727958679,0.2656152844429016,0.010691693983972,3.7777777777777777,2.3677777777777775,0.571,0.67,0.469,0.2515,0.353,0.125,17,And again they were silent for a long time.,1690.0,1690.0,127.41666666666667,2.0816326530612246,2.2040816326530615,3.0
18.0,4,0.9856115107913668,23,5614.0,7232.0,124.55263157894737,6.0,5.0,26,SM,0.03487143665552139,0.23000368475914001,0.01933104544878006,0.15631482005119324,0.4718996584415436,0.05938998609781265,0.02818935364484787,0.0846023261547088,0.8729492425918579,0.0424485132098197,4.230769230769231,2.5875,0.626625,0.786,0.378,0.374625,0.657,0.24,18,"Marya Vassilyevna thought of her school, of the examination that was coming soon, and of the girl and four boys she was sending up for it.",5614.0,7232.0,124.55263157894737,6.0,5.0,3.0
19.0,0,0.0,23,8210.0,9680.0,126.80115384615384,8.0,9.0,37,SM,0.059031084179878235,0.12094932794570923,0.4396648705005646,0.0026802467182278633,0.020034106448292732,0.008434025570750237,0.3492063879966736,0.1929325461387634,0.7661206722259521,0.0409468337893486,4.54054054054054,2.6502777777777777,0.6202666666666666,0.786,0.378,0.42246666666666666,0.657,0.24,19,"And just as she was thinking about the examination, she was overtaken by a neighboring landowner called Hanov in a carriage with four horses, the very man who had been examiner in her school the year before.",8210.0,9680.0,126.80115384615384,8.0,9.0,3.0
