,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score
0.0,0,0.0,20,1844.0,4018.0,255.66750000000002,1.0,1.0,11,EL,0.07690397650003433,0.705023467540741,0.013152703642845154,0.0020739987958222628,0.16746844351291656,0.032682761549949646,0.0026946295984089375,0.9014321565628052,0.092206098139286,0.006361708510667,4.857142857142857,2.1007142857142855,0.552625,0.958,0.063,0.462625,0.681,0.24,0,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,1844.0,4018.0,255.66750000000002,1.0,1.0,1.86
1.0,0,0.0,20,3224.0,3488.0,240.25,2.0,2.0,15,EL,0.010886622592806816,0.15660087764263153,0.8025929927825928,0.003065022174268961,0.012265697121620178,0.00786207802593708,0.006726651918143034,0.0424299351871013,0.8377195000648499,0.1198505759239196,4.631578947368421,2.55,0.6694444444444445,0.828,0.417,0.4926666666666667,0.663,0.245,1,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",3224.0,3488.0,240.25,2.0,2.0,1.86
2.0,1,0.8153846153846154,20,3298.0,3298.0,245.1818181818182,1.0,1.0,20,EL,0.005602225195616484,0.9141061902046204,0.055767372250556946,0.0007950423751026392,0.006773849483579397,0.01220974326133728,0.004745516460388899,0.8561210036277771,0.1285625547170639,0.0153164668008685,4.304347826086956,2.9050000000000002,0.4461538461538461,0.833,0.061,0.42246153846153844,0.91,0.154,2,"“It’s awful,” he said, breathing hard (although he was only twenty-six he was fat, heavy, and suffered from shortness of breath).",3298.0,3298.0,245.1818181818182,1.0,1.0,1.86
3.0,0,0.0,20,340.0,340.0,230.0,0.0,0.0,2,EL,0.011832593008875847,0.9235582947731018,0.04838227853178978,0.000667218875605613,0.003758154809474945,0.00805728416889906,0.003744143759831786,0.8776171803474426,0.1006994768977165,0.0216832160949707,3.0,2.365,0.061,0.061,0.061,0.786,0.786,0.786,3,“It’s awful!,340.0,340.0,230.0,0.22413793103448276,0.24137931034482757,1.86
4.0,4,0.9591836734693876,20,1842.0,1904.0,223.4,2.0,1.0,8,EL,0.03408033400774002,0.37827762961387634,0.10745116323232651,0.001552476896904409,0.31967273354530334,0.10445750504732132,0.05450812727212906,0.5087932348251343,0.4474318027496338,0.043774951249361,4.444444444444445,2.97375,0.6717500000000001,0.729,0.562,0.3255,0.357,0.255,4,Without languages I’m like a bird without wings.,1842.0,1904.0,223.4,2.0,1.0,1.86
5.0,0,0.0,20,2462.0,2904.0,230.71428571428572,1.0,1.0,9,EL,0.2819383442401886,0.16042788326740265,0.024939727038145065,0.011049716733396053,0.13632531464099884,0.3838024139404297,0.0015165765071287751,0.5046674013137817,0.4609810709953308,0.0343514569103717,3.2222222222222223,2.6666666666666665,0.7344999999999999,0.75,0.719,0.471,0.596,0.346,5,I might just as well give up the work.”,2462.0,2904.0,230.71428571428572,1.0,1.0,1.86
6.0,4,0.9568345323741008,20,5226.0,7958.0,224.05555555555554,3.0,5.0,27,EL,0.03249230235815048,0.03976759314537048,0.008793443441390991,0.03268519416451454,0.8712578415870667,0.010180587880313396,0.0048230551183223724,0.2506935894489288,0.6685726046562195,0.0807338505983352,3.857142857142857,2.3484615384615384,0.6005454545454545,0.833,0.271,0.44472727272727275,0.689,0.24,6,"And he made up his mind at all costs to overcome his innate laziness, and to learn French and German; and began to look out for a teacher.",5226.0,7958.0,224.05555555555554,3.0,5.0,1.86
7.0,4,0.0161290322580645,20,4636.0,5930.0,223.64285714285714,3.0,3.0,24,EL,0.11261457204818726,0.8212560415267944,0.049890100955963135,0.0019409072119742632,0.004888168536126614,0.005220389924943447,0.004189807455986738,0.0514694713056087,0.9013859629631042,0.0471444614231586,4.041666666666667,2.9143478260869564,0.6114166666666666,0.854,0.34,0.36791666666666667,0.596,0.23,7,"One winter noon, as Vorotov was sitting in his study at work, the servant told him that a young lady was inquiring for him.",4636.0,5930.0,223.64285714285714,3.0,3.0,1.86
8.0,0,0.0,20,1076.0,1488.0,240.11,1.0,1.0,5,EL,0.052987173199653625,0.0596947968006134,0.09585996717214584,0.004180776886641979,0.765787661075592,0.01652391068637371,0.004965693689882755,0.101723812520504,0.8288127183914185,0.0694634392857551,3.8,2.865,0.5509999999999999,0.571,0.531,0.375,0.44,0.31,8,"“Ask her in,” said Vorotov.",1076.0,1488.0,240.11,1.0,1.0,1.86
9.0,1,0.9117647058823528,20,3104.0,3260.0,259.4375,3.0,2.0,12,EL,0.005333638284355402,0.9466791152954102,0.0034406655468046665,0.0072624944150447845,0.02008022367954254,0.0025166133418679237,0.01468716748058796,0.0165613237768411,0.7899152636528015,0.1935235261917114,4.583333333333333,2.9600000000000004,0.771,0.854,0.643,0.45225,0.616,0.3,9,And a young lady elaborately dressed in the last fashion walked in.,3104.0,3260.0,259.4375,3.0,2.0,1.86
10.0,1,1.0,20,4194.0,4976.0,227.56666666666666,4.0,4.0,25,EL,0.044977087527513504,0.4052717089653015,0.018401408568024635,0.11700259894132614,0.34603753685951233,0.041412826627492905,0.026896817609667778,0.0273820403963327,0.9048420190811156,0.0677758827805519,4.3076923076923075,2.5185714285714287,0.680125,0.906,0.542,0.390875,0.559,0.24,10,"She introduced herself as a teacher of French,Alice Osipovna Enquête, and told Vorotov that she had been sent to him by one of his friends.",4194.0,4976.0,227.56666666666666,4.0,4.0,1.86
11.0,1,0.5,20,228.0,408.0,251.0,0.0,1.0,1,EL,0.007050572894513607,0.0022600279189646244,0.024726441130042076,0.8142812252044678,0.0802353098988533,0.003433010308071971,0.06801334768533707,0.0024085706099867,0.0479586571455001,0.9496328830718994,9.0,,0.938,0.938,0.938,0.664,0.664,0.664,11,“Delighted!,228.0,408.0,251.0,0.12587412587412586,1.0,1.86
12.0,0,0.0,20,3194.0,3194.0,242.6153846153846,1.0,0.0,36,EL,0.05152164772152901,0.26672986149787903,0.20768488943576813,0.0038280938751995564,0.3983265161514282,0.06324997544288635,0.00865904986858368,0.0619997940957546,0.7260627746582031,0.2119374126195907,4.527777777777778,3.0222857142857142,0.559,0.875,0.158,0.401,0.708,0.23,12,"Please sit down,” said Vorotov, breathing hard and putting his hand over the collar of his nightshirt (to breathe more freely he always wore a nightshirt at work instead of a stiff linen one with collar).",3194.0,3194.0,242.6153846153846,1.0,4.3076923076923075,1.86
13.0,0,0.0,20,538.0,1052.0,231.33333333333334,1.0,2.0,6,EL,0.011276264674961567,0.005531282629817724,0.010907692834734917,0.004627909045666456,0.2312186062335968,0.004259174689650536,0.7321791052818298,0.1414102613925933,0.8210867047309875,0.0375030189752578,4.333333333333333,2.8675,0.6665000000000001,0.67,0.663,0.36,0.48,0.24,13,“It was Pyotr Sergeitch sent you?,538.0,1052.0,231.33333333333334,1.0,2.0,1.86
14.0,0,0.0,20,208.0,208.0,234.0,0.0,0.0,2,EL,0.04802868887782097,0.13250653445720673,0.06341639161109924,0.014109298586845398,0.6804285049438477,0.04668869823217392,0.014821825549006462,0.0107611371204257,0.15492844581604,0.8343104124069214,3.0,2.14,,,,,,,14,"Yes, yes...",208.0,208.0,234.0,0.27999999999999997,0.26,1.86
15.0,0,0.0,20,880.0,1134.0,232.75,2.0,1.0,5,EL,0.022830480709671974,0.03402383252978325,0.011413723230361938,0.03948497772216797,0.7436038851737976,0.03459024056792259,0.11405283957719803,0.1418939381837844,0.7922182679176331,0.0658877566456794,3.2,2.992,0.531,0.531,0.531,0.44,0.44,0.44,15,I asked him about it.,880.0,1134.0,232.75,2.0,1.0,1.86
