,negative,neutral,positive,anger,disgust,fear,joy,neutral,sadness,surprise,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,category
0.0,0.1035889908671379,0.841585636138916,0.0548252984881401,0.014910856261849403,0.018824653699994087,0.04428490623831749,0.004741554614156485,0.7836342453956604,0.011914475820958614,0.1216893196105957,8858.0,2662.0,395.02714285714285,6.0,2.0,2
1.0,0.0549687705934047,0.457871675491333,0.4871594905853271,0.012825055047869682,0.07119015604257584,0.01542443223297596,0.5046417713165283,0.23794938623905182,0.15302956104278564,0.004939606878906488,18380.0,47594.0,331.6388888888889,10.0,11.0,1
2.0,0.413356214761734,0.494991272687912,0.0916524678468704,0.6936886310577393,0.03129483014345169,0.07572940737009048,0.003134916303679347,0.04337378218770027,0.11717294156551361,0.03560548275709152,9044.0,9514.0,345.642,4.0,4.0,1
3.0,0.1215592324733734,0.4996900260448456,0.3787507116794586,0.0018574005225673318,0.004144122824072838,0.003712872974574566,0.8981362581253052,0.016665959730744362,0.07381708174943924,0.0016663038404658437,42664.0,54522.0,320.0904081632653,35.0,29.0,4
4.0,0.0659265518188476,0.7579628825187683,0.1761105507612228,0.03665122389793396,0.00523210596293211,0.05153210088610649,0.020386533811688423,0.7765630483627319,0.05769680067896843,0.051938194781541824,34762.0,77392.0,314.127,19.0,23.0,4
5.0,0.067658931016922,0.6997213363647461,0.2326197624206543,0.00914971437305212,0.03747202828526497,0.04900514334440231,0.005565299186855555,0.8566029071807861,0.009754019789397717,0.032450783997774124,14514.0,28628.0,314.6427586206896,10.0,10.0,4
6.0,0.0696423128247261,0.6585606932640076,0.2717970311641693,0.0314948670566082,0.03940162435173988,0.1305619478225708,0.0069300830364227295,0.6308884024620056,0.07475553452968597,0.0859675258398056,26362.0,33350.0,301.40967741935486,21.0,20.0,4
7.0,0.2580460011959076,0.6681110858917236,0.0738429278135299,0.013557473197579384,0.08199776709079742,0.005803059320896864,0.0019347330089658499,0.8437235951423645,0.01349119283258915,0.03949219360947609,12722.0,23032.0,295.41875,6.0,9.0,1
8.0,0.2214777469635009,0.6858983635902405,0.0926239416003227,0.01048093382269144,0.031435608863830566,0.8241940140724182,0.0021685634274035692,0.07576483488082886,0.02049022912979126,0.03546572104096413,14986.0,16328.0,294.86538461538464,5.0,4.0,1
9.0,0.7305388450622559,0.2609089910984039,0.0085522131994366,0.0016088896663859487,0.0028324206359684467,0.004182263743132353,0.0013374107657000422,0.015835747122764587,0.9615140557289124,0.012689327821135521,3800.0,8488.0,302.8888888888889,1.0,2.0,1
10.0,0.3579869270324707,0.6096232533454895,0.0323897860944271,0.1224551796913147,0.504974901676178,0.009416308254003525,0.0031376108527183533,0.30750495195388794,0.035575784742832184,0.01693521998822689,9502.0,15974.0,299.4665,6.0,5.0,1
11.0,0.5493608713150024,0.4209700524806976,0.0296690165996551,0.013837041333317757,0.5626928210258484,0.017955364659428596,0.0075841667130589485,0.24593326449394226,0.12100590020418167,0.03099142573773861,10626.0,409650.0,316.24227272727273,8.0,9.0,1
12.0,0.1023795828223228,0.8498182892799377,0.0478021427989006,0.10662219673395157,0.1612929403781891,0.33223390579223633,0.004745371174067259,0.09858230501413345,0.023054149001836777,0.27346912026405334,12435.0,12442.0,348.108,14.0,9.0,0
13.0,0.8254726529121399,0.1683708727359771,0.0061566270887851,0.18960876762866974,0.16015367209911346,0.019171277061104774,0.002264473820105195,0.11229313164949417,0.5099966526031494,0.006512017454952002,3848.0,2612.0,315.15,2.0,4.0,0
14.0,0.5318121314048767,0.4544428586959839,0.0137450043112039,0.19247430562973022,0.6964651346206665,0.02200542390346527,0.0013568300055339932,0.06381192803382874,0.01838698610663414,0.00549941323697567,11056.0,19322.0,319.0609090909091,5.0,6.0,0
15.0,0.3387139141559601,0.6330022811889648,0.0282837282866239,0.07641392946243286,0.04397812858223915,0.012184394523501396,0.006321222521364689,0.04758279770612717,0.00747331976890564,0.8060462474822998,2424.0,1338.0,340.0,3.0,3.0,0
16.0,0.089250162243843,0.8484391570091248,0.0623106211423873,0.031233781948685646,0.8856038451194763,0.007311149034649134,0.001081165624782443,0.0653112605214119,0.002395017771050334,0.007063696160912514,8094.0,18972.0,333.635,5.0,6.0,0
17.0,0.7236930727958679,0.2656152844429016,0.010691693983972,0.04542991891503334,0.12373851984739304,0.1095803901553154,0.0059524113312363625,0.562046229839325,0.083871029317379,0.06938154250383377,7532.0,18820.0,325.23,5.0,4.0,0
18.0,0.0846023261547088,0.8729492425918579,0.0424485132098197,0.03487143665552139,0.23000368475914001,0.01933104544878006,0.15631482005119324,0.4718996584415436,0.05938998609781265,0.02818935364484787,19122.0,36132.0,320.81919999999997,21.0,17.0,0
