,negative,neutral,positive,anger,disgust,fear,joy,neutral,sadness,surprise,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,category
0,0.9014321565628052,0.092206098139286,0.006361708510667,0.07690397650003433,0.705023467540741,0.013152703642845154,0.0020739987958222628,0.16746844351291656,0.032682761549949646,0.0026946295984089375,1432.0,1620.0,211.0,2.0,1.0,2.0
1,0.0424299351871013,0.8377195000648499,0.1198505759239196,0.010886622592806816,0.15660087764263153,0.8025929927825928,0.003065022174268961,0.012265697121620178,0.00786207802593708,0.006726651918143034,7648.0,7410.0,188.43117647058824,8.0,8.0,0.0
2,0.8561210036277771,0.1285625547170639,0.0153164668008685,0.005602225195616484,0.9141061902046204,0.055767372250556946,0.0007950423751026392,0.006773849483579397,0.01220974326133728,0.004745516460388899,5650.0,6060.0,195.91636363636363,8.0,7.0,0.0
3,0.8776171803474426,0.1006994768977165,0.0216832160949707,0.011832593008875847,0.9235582947731018,0.04838227853178978,0.000667218875605613,0.003758154809474945,0.00805728416889906,0.003744143759831786,15548.0,34950.0,174.0654761904762,13.0,15.0,1.0
4,0.5087932348251343,0.4474318027496338,0.043774951249361,0.03408033400774002,0.37827762961387634,0.10745116323232651,0.001552476896904409,0.31967273354530334,0.10445750504732132,0.05450812727212906,15300.0,18480.0,168.913125,10.0,10.0,0.0
5,0.5046674013137817,0.4609810709953308,0.0343514569103717,0.2819383442401886,0.16042788326740265,0.024939727038145065,0.011049716733396053,0.13632531464099884,0.3838024139404297,0.0015165765071287751,9244.0,9604.0,161.24137931034483,12.0,7.0,2.0
6,0.2506935894489288,0.6685726046562195,0.0807338505983352,0.03249230235815048,0.03976759314537048,0.008793443441390991,0.03268519416451454,0.8712578415870667,0.010180587880313396,0.0048230551183223724,12428.0,9960.0,179.42461538461538,11.0,11.0,2.0
7,0.0514694713056087,0.9013859629631042,0.0471444614231586,0.11261457204818726,0.8212560415267944,0.049890100955963135,0.0019409072119742632,0.004888168536126614,0.005220389924943447,0.004189807455986738,5748.0,5040.0,182.9375,5.0,5.0,0.0
8,0.101723812520504,0.8288127183914185,0.0694634392857551,0.052987173199653625,0.0596947968006134,0.09585996717214584,0.004180776886641979,0.765787661075592,0.01652391068637371,0.004965693689882755,13342.0,14534.0,173.885625,10.0,10.0,0.0
9,0.0165613237768411,0.7899152636528015,0.1935235261917114,0.005333638284355402,0.9466791152954102,0.0034406655468046665,0.0072624944150447845,0.02008022367954254,0.0025166133418679237,0.01468716748058796,4718.0,3818.0,177.33083333333332,7.0,3.0,0.0
