,category,proportion,percent_highlighted
0,5,0.9879518072289156,0.9879518072289156
1,0,1.0,0.0
2,0,1.0,0.0
3,5,0.8461538461538461,0.8461538461538461
4,5,1.0,1.0
5,5,1.0,1.0
6,5,0.007194244604316547,0.007194244604316547
7,0,1.0,0.0
8,0,1.0,0.0
9,0,1.0,0.0
10,0,1.0,0.0
11,0,1.0,0.0
12,0,1.0,0.0
13,0,1.0,0.0
14,0,1.0,0.0
15,0,1.0,0.0
16,0,1.0,0.0
17,0,1.0,0.0
18,0,1.0,0.0
19,0,1.0,0.0
20,1,0.9706666666666667,0.9706666666666667
21,1,1.0,1.0
22,1,1.0,1.0
23,1,0.10989010989010989,0.10989010989010989
24,0,1.0,0.0
25,0,1.0,0.0
26,0,1.0,0.0
27,0,1.0,0.0
28,0,1.0,0.0
29,5,0.8133333333333334,0.8133333333333334
30,5,0.0962962962962963,0.0962962962962963
31,0,1.0,0.0
32,0,1.0,0.0
33,0,1.0,0.0
34,5,0.7439024390243902,0.7439024390243902
35,5,0.2054794520547945,0.2054794520547945
36,0,1.0,0.0
37,0,1.0,0.0
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,0,1.0,0.0
43,5,0.6575342465753424,0.6575342465753424
44,5,0.0963855421686747,0.0963855421686747
45,0,1.0,0.0
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,1.0,0.0
51,0,1.0,0.0
52,0,1.0,0.0
53,0,1.0,0.0
54,0,1.0,0.0
55,0,1.0,0.0
56,0,1.0,0.0
57,0,1.0,0.0
58,5,0.02127659574468085,0.02127659574468085
59,5,0.24647887323943662,0.24647887323943662
60,0,1.0,0.0
61,0,1.0,0.0
62,5,0.3695652173913043,0.4130434782608695
63,5,0.4675324675324675,0.4675324675324675
64,0,1.0,0.0
65,3,0.1950207468879668,0.1950207468879668
66,3,0.2616279069767442,0.2616279069767442
67,1,0.5208333333333334,0.5208333333333334
68,1,0.3146853146853147,0.3146853146853147
69,0,1.0,0.0
70,4,0.685,0.685
71,4,0.6772151898734177,0.6772151898734177
72,4,1.0,1.0
73,4,0.7352941176470589,0.7352941176470589
74,0,1.0,0.0
75,5,0.2796610169491525,0.4957627118644068
76,5,0.8175438596491228,1.0
77,5,0.33548387096774196,0.4516129032258065
78,5,1.0,1.0
79,1,0.6304347826086957,0.7869565217391304
80,1,0.4094488188976378,0.4094488188976378
81,5,0.27099236641221375,0.27099236641221375
82,0,1.0,0.0
83,0,1.0,0.0
84,0,1.0,0.0
85,0,1.0,0.0
86,5,0.7634854771784232,0.7634854771784232
87,5,0.23236514522821577,0.23236514522821577
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,1.0,0.0
94,0,1.0,0.0
95,0,1.0,0.0
96,0,1.0,0.0
97,0,1.0,0.0
98,0,1.0,0.0
99,1,0.6585365853658537,0.6585365853658537
100,1,1.0,1.0
101,1,0.5375,0.9958333333333333
102,5,0.6626506024096386,0.6626506024096386
103,5,0.41544117647058826,0.41544117647058826
104,5,0.21374045801526717,0.21374045801526717
105,0,1.0,0.0
106,0,1.0,0.0
107,5,0.5642857142857143,0.5642857142857143
108,5,0.7228915662650602,0.7228915662650602
109,0,1.0,0.0
110,0,1.0,0.0
111,0,1.0,0.0
112,0,1.0,0.0
113,0,1.0,0.0
114,0,1.0,0.0
115,0,1.0,0.0
116,0,1.0,0.0
117,5,0.5398230088495575,0.5398230088495575
