,category,proportion
0,0,0.0
1,0,0.0
2,0,0.0
3,2,0.7758620689655172
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,1,0.9653333333333334
18,1,1.0
19,1,1.0
20,1,0.5238095238095238
21,0,0.0
22,0,0.0
23,5,0.946058091286307
24,5,0.042704626334519574
25,0,0.0
26,4,0.8
27,4,0.1037037037037037
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,1,0.37777777777777777
44,1,1.0
45,1,1.0
46,1,1.0
47,1,0.10666666666666667
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,5,0.7304964539007093
56,5,0.3894736842105263
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,3,0.8666666666666667
63,3,1.0
64,3,0.43529411764705883
65,1,0.7209302325581395
66,1,1.0
67,1,1.0
68,1,1.0
69,1,0.18181818181818182
70,0,0.0
71,1,0.735
72,1,1.0
73,1,1.0
74,1,0.7941176470588235
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,0,0.0
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,3,0.7605042016806722
92,3,0.7671232876712328
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,0,0.0
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
