,category,proportion
0,3,1.0
1,3,0.990909090909091
2,4,0.9285714285714286
3,4,1.0
4,4,0.9803921568627451
5,4,0.9784172661870504
6,3,0.967741935483871
7,3,0.21428571428571427
8,0,0.0
9,1,0.9117647058823529
10,3,0.9571428571428572
11,4,0.7666666666666667
12,4,1.0
13,4,0.0759493670886076
14,4,0.4782608695652174
15,4,1.0
16,1,0.835820895522388
17,1,1.0
18,1,1.0
19,1,1.0
20,1,0.5238095238095238
21,3,1.0
22,3,0.21764705882352942
23,3,0.946058091286307
24,1,0.12811387900355872
25,0,0.0
26,1,0.8
27,1,1.0
28,4,0.7611940298507462
29,4,1.0
30,4,1.0
31,4,0.9308943089430894
32,4,0.2191780821917808
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,4,0.7
38,4,1.0
39,4,0.6301369863013698
40,4,1.0
41,4,0.6666666666666666
42,4,1.0
43,4,0.6
44,1,1.0
45,1,0.856
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,1,0.7654320987654321
55,1,1.0
56,1,1.0
57,4,0.7323943661971831
58,4,0.5294117647058824
59,1,1.0
60,1,1.0
61,1,1.0
62,3,0.8666666666666667
63,3,1.0
64,4,0.5176470588235295
65,1,0.7209302325581395
66,1,1.0
67,1,1.0
68,1,1.0
69,4,0.8106060606060606
70,4,1.0
71,3,0.735
72,3,1.0
73,3,1.0
74,3,0.7941176470588235
75,5,1.0
76,4,0.7711864406779662
77,4,1.0
78,4,1.0
79,4,1.0
80,1,0.8260869565217391
81,3,0.5669291338582677
82,1,0.8514588859416445
83,1,0.72
84,0,0.0
85,3,0.32941176470588235
86,3,0.42028985507246375
87,4,0.2926829268292683
88,4,1.0
89,4,1.0
90,4,0.7593360995850622
91,4,1.0
92,4,0.7671232876712328
93,4,1.0
94,4,1.0
95,4,1.0
96,4,1.0
97,4,1.0
98,4,1.0
99,4,1.0
100,4,1.0
101,4,0.7272727272727273
102,4,1.0
103,1,0.5141700404858299
104,1,0.6867469879518072
105,4,1.0
106,4,1.0
107,4,1.0
108,1,0.5428571428571428
109,1,1.0
110,1,1.0
111,1,0.5217391304347826
112,4,1.0
113,4,0.5526315789473685
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,5,0.827433628318584
