,category,proportion,percent_highlighted
0,0,1.0,0.0
1,1,1.0,2.772357723577236
2,1,1.0,1.5833333333333335
3,1,0.5795454545454546,0.5795454545454546
4,4,0.9452054794520548,0.9452054794520548
5,0,1.0,0.0
6,4,0.7627118644067796,0.7627118644067796
7,0,1.0,0.0
8,3,0.4607329842931937,0.4607329842931937
9,0,1.0,0.0
10,0,1.0,0.0
11,0,1.0,0.0
12,2,0.6408450704225352,0.9929577464788732
13,2,1.0,1.0
14,0,1.0,0.0
15,0,1.0,0.0
16,0,1.0,0.0
17,2,0.022727272727272728,0.022727272727272728
18,2,0.9928057553956835,0.9928057553956835
19,3,0.6346153846153846,0.6346153846153846
20,3,0.9807692307692307,0.9807692307692307
21,0,1.0,0.0
22,0,1.0,0.0
23,1,0.4268292682926829,0.4878048780487805
24,0,1.0,0.0
25,1,0.4146341463414634,0.4146341463414634
26,0,1.0,0.0
27,4,0.34502923976608185,0.4327485380116959
28,0,1.0,0.0
29,0,1.0,0.0
30,0,1.0,0.0
31,0,1.0,0.0
32,1,0.4972067039106145,0.4972067039106145
33,0,1.0,0.0
34,2,0.9777777777777777,0.9777777777777777
35,0,1.0,0.0
36,0,1.0,0.0
37,0,1.0,0.0
38,5,0.4831081081081081,0.4831081081081081
39,4,0.9824561403508771,0.9824561403508771
40,0,1.0,0.0
41,0,1.0,0.0
42,1,0.7210884353741497,0.7210884353741497
43,0,1.0,0.0
44,0,1.0,0.0
45,0,1.0,0.0
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,4,0.003484320557491289,0.003484320557491289
50,4,0.5476190476190477,0.5476190476190477
51,4,0.6942675159235668,0.6942675159235668
52,0,1.0,0.0
53,0,1.0,0.0
54,0,1.0,0.0
55,0,1.0,0.0
56,2,0.5,0.5
57,0,1.0,0.0
58,0,1.0,0.0
59,1,0.21839080459770116,0.21839080459770116
60,1,0.75,0.75
61,0,1.0,0.0
62,0,1.0,0.0
63,0,1.0,0.0
64,0,1.0,0.0
65,0,1.0,0.0
66,0,1.0,0.0
67,0,1.0,0.0
68,1,0.28205128205128205,0.28205128205128205
69,0,1.0,0.0
70,3,0.5145228215767634,0.5145228215767634
71,3,0.9,0.9
72,0,1.0,0.0
